start_station_name,date,hour,trip_count,PRCP,SNOW,TAVG,extreme_weather,event_Basketball,event_Comedy,event_Concert,event_Fair,event_Hockey,day_of_week,is_weekend,week_of_year,month
Central Square at Mass Ave / Essex St,2024-01-05,12,7.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,13,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,14,5.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,15,5.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,16,7.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,17,5.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,18,5.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,19,5.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,20,6.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,21,3.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,22,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,23,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-06,0,2.0,0.09,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,1,0.0,0.09,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,2,1.0,0.09,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,3,0.0,0.09,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,4,0.0,0.09,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,5,0.0,0.09,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
Central Square at Mass Ave / Essex St,2024-01-06,6,1.0,0.09,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday,True,1,January
